INSTNM,CONTROL,TUITIONFEE_IN,DEBT_MDN,MD_EARN_WNE_P10,C150_4,STABBR
Keuka College,2,39332.0,21418.0,58289.0,0.5836,NY
Crestpoint University,3,7995.0,13994.0,42269.0,0.3303,AZ
Calvary University,2,14094.0,12500.0,45421.0,0.5217,MO
Palo Alto College,1,3412.0,6779.0,37448.0,0.3296,TX
Tuskegee University,2,25386.0,21250.0,49641.0,0.5498,AL
Lorain County Community College,1,4265.0,8917.0,38837.0,0.3094,OH
Reinhardt University,2,30074.0,13156.0,46541.0,0.4357,GA
Bridgewater College,2,16090.0,17500.0,53453.0,0.5305,VA
Lane Community College,1,6202.0,6450.0,38075.0,0.2039,OR
University of South Carolina Aiken,1,10760.0,13000.0,45603.0,0.3985,SC
University of California-Santa Barbara,1,16414.0,11875.0,74915.0,0.8303,CA
Washington State University,1,13391.0,14853.0,68905.0,0.605,WA
Fort Lewis College,1,9958.0,9000.0,46349.0,0.3564,CO
Indiana Institute of Technology,2,31361.0,12564.0,47327.0,0.4779,IN
University of Minnesota-Morris,1,14526.0,12377.0,50919.0,0.625,MN
Pennsylvania State University-Penn State Harrisburg,1,15972.0,19500.0,63435.0,0.2612,PA
University of West Georgia,1,6088.0,15000.0,49587.0,0.4349,GA
Eastwick College-Hackensack,3,18075.0,10617.0,39762.0,0.4254,NJ
University of Maryland-College Park,1,11809.0,17000.0,82860.0,0.8859,MD
Faith Baptist Bible College and Theological Seminary,2,20270.0,8750.0,40650.0,0.6753,IA
Cornish College of the Arts,2,41684.0,20610.0,33696.0,0.5643,WA
Duquesne University,2,48986.0,23500.0,74742.0,0.7749,PA
Ohio University-Southern Campus,1,6362.0,15332.0,52581.0,0.2103,OH
Benedict College,2,17440.0,16000.0,31902.0,0.2426,SC
Mount St. Mary's University,2,48630.0,15000.0,64072.0,0.6539,MD
Chamberlain University-Missouri,3,19975.0,16458.0,92405.0,1.0,MO
Southern California Seminary,2,19080.0,12034.0,39607.0,0.5,CA
Milwaukee Institute of Art & Design,2,43743.0,15750.0,41174.0,0.6695,WI
East Texas Baptist University,2,30680.0,15030.0,52788.0,0.4712,TX
Citadel Military College of South Carolina,1,12570.0,18000.0,72085.0,0.75,SC
Pennsylvania State University-Penn State DuBois,1,14408.0,19500.0,63435.0,0.3381,PA
University of Cincinnati-Blue Ash College,1,7200.0,12000.0,54810.0,0.159,OH
Cheyney University of Pennsylvania,1,10904.0,13000.0,37837.0,0.4059,PA
Newberry College,2,31100.0,15750.0,48040.0,0.4514,SC
Art Academy of Cincinnati,2,41375.0,11750.0,34368.0,0.4127,OH
Mid-America Christian University,2,21294.0,15444.0,46116.0,0.4423,OK
Binghamton University,1,10567.0,15000.0,80596.0,0.8162,NY
Ohio University-Eastern Campus,1,6362.0,15332.0,52581.0,0.2065,OH
Tiffin University,2,34790.0,15795.0,35942.0,0.3987,OH
Rhode Island School of Design,2,62688.0,23250.0,68140.0,0.8877,RI
East Stroudsburg University of Pennsylvania,1,11536.0,16750.0,56148.0,0.4312,PA
DeVry University-Georgia,3,17408.0,12805.0,45987.0,0.125,GA
Marymount University,2,40920.0,20000.0,67516.0,0.5351,VA
University of Nevada-Reno,1,9578.0,13000.0,60614.0,0.6124,NV
St Philip's College,1,3412.0,7250.0,38224.0,0.2827,TX
Western New England University,2,47820.0,19500.0,73157.0,0.6398,MA
Dallas Christian College,2,21730.0,15000.0,43503.0,0.2857,TX
Montclair State University,1,15912.0,17500.0,61415.0,0.6466,NJ
Maryville College,2,39284.0,15000.0,49279.0,0.5,TN
Glenville State University,1,9578.0,11123.0,39315.0,0.3392,WV
South Georgia State College,1,3314.0,7000.0,35697.0,0.162,GA
